"BibNum","combo","new"
3261813,"gangs juvenile fiction, friendship juvenile fiction, gangs fiction, friendship fiction, young adult fiction","child"
3236332,"fashion shows fiction, competition psychology fiction",""
3229156,"families massachusetts juvenile fiction, shapeshifting juvenile fiction, cape cod mass juvenile fiction, supernatural fiction, family life massachusetts fiction, shapeshifting fiction, cape cod mass fiction, paranormal fiction","child, states"
3176850,"single mothers fiction, bodyguards fiction, secrecy fiction, stalkers fiction, man woman relationships fiction, romantic suspense fiction","romance"
3171375,"football players juvenile fiction, dancers juvenile fiction","child"
3227070,"man woman relationships fiction, large type books, murder investigation fiction, police fiction, montana fiction, romantic suspense fiction","romance, states"
3226003,"outlaws fiction, brothers fiction, united states history civil war 1861 1865 veterans fiction, large type books, western fiction","frontier"
3140297,"cherokee indians juvenile fiction, indians of north america oklahoma juvenile fiction, animals mythical juvenile fiction, supernatural fiction","child, states"
3068523,"maroons jamaica fiction, human alien encounters fiction, jamaica fiction, fantasy fiction, science fiction","countries"
3204072,"soldiers conduct of life fiction, war moral and ethical aspects fiction, war and society fiction, africa politics and government fiction",""
3282232,"vikings greenland juvenile fiction, inuit greenland juvenile fiction, eskimos greenland juvenile fiction, greenland history to 1500 juvenile fiction, vikings greenland fiction, inuit greenland fiction, eskimos greenland fiction, greenland history to 1500 fiction, readers elementary","child, countries"
3275555,"african americans fiction, man woman relationships fiction, romance fiction","romance"
3284047,"spouses death psychological aspects fiction, widowers fiction, psychological fiction, spouses, death",""
3282198,"oz imaginary place fiction, new york n y fiction, kidnapping fiction, magic, gangs","states"
1720851,,""
1612847,"short stories","short"
1714302,,""
1330936,"young women united states social life and customs fiction, women",""
1338713,"humorous fiction, women, adultery, promiscuity",""
1392577,,""
1318532,"mennonites, russia","countries"
1274010,"black humor, doctors & medicine humor, satire, british & irish humor",""
1720593,"biography & autobiography, women",""
573307,"government",""
1301800,"oil spills washington state puget sound fiction, oil spills","pnw"
537153,,""
521198,"lernet holenia alexander 1897 1976 translations into english",""
491018,"black women writers",""
488196,"miracles",""
424541,"portuguese, brazilian","countries"
473024,"mystery",""
386875,"european literary history & criticism, european literature, spanish & portuese literature","countries"
399123,,""
360632,"botwinik berl 1885 1945 translations into english, jews, social life, translation",""
357489,"children's stories","child"
202364,"science fiction american, science fiction",""
159413,"mystery & detective, romance","romance"
125751,"seattle, humor",""
493509,,""
23329,,""
805687,,""
40234,"jews",""
38197,,""
125417,,""
732586,,""
51678,"american literature, women authors",""
60905,"african american",""
51022,"haida indians fiction, hiada indians",""
51634,"detective, mystery",""
59218,,""
8678,"brazil fiction, dictatorship, history, brazil","countries"
62657,,""
40815,"children, russia","child, countries"
21791,,""
706026,,""
22688,"nigeria, social life, customs","countries"
768598,,""
11055,,""
9628,"short stories","short"
1359787,"american fiction, african american authors",""
3004213,"african americans fiction mason dixon line african americans fiction, country life fiction, mothers and sons fiction, poor fiction, male african people conduct of life fiction, african american fiction, country life, mothers and sons",""
87847,"texas","states"
24827,,""
3004212,"military art and science fiction",""
